STATE,DOMAIN,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,GEOCODE2,DOMAIN_A,DOMAIN_B
IL,T2,36,,U,F,Not matched,C,T,2
CA,S1,14,E,H,M,3,A,S,1
NC,R2,43,,U,M,3,C,R,2
CA,R2,44,E,U,F,3,C,R,2
FL,S2,16,E,H,F,3,A,S,2
other,T2,40,,U,F,Not matched,C,T,2
IN,T2,40,E,H,F,3,D,T,2
other,T2,39,,U,F,1,C,T,2
other,R2,45,,U,M,3,D,R,2
other,T1,35,I,U,M,Not matched,B,T,1
other,R3,53,,U,F,1,D,R,3
IN,S2,17,E,U,M,3,B,S,2
other,R3,51,,H,F,3,D,R,3
other,T2,40,,U,M,Not matched,B,T,2
other,T1,35,E,H,M,3,D,T,1
CA,U1,2,,H,M,1,A,U,1
MI,S2,20,E,U,M,3,A,S,2
IL,R2,43,E,U,F,2,C,R,2
FL,S2,16,E,H,F,3,B,S,2
NC,C2,27,,U,M,Not matched,C,C,2
other,S1,12,E,H,F,3,A,S,1
MI,R2,43,E,U,M,3,C,R,2
FL,T2,40,,U,F,Not matched,C,T,2
IL,C1,22,,U,F,Not matched,A,C,1
other,T1,35,E,H,F,3,A,T,1
CA,T1,35,I,H,M,3,B,T,1
IL,S1,13,E,H,F,2,A,S,1
MO,T1,35,E,H,M,3,D,T,1
TX,T1,35,E,H,F,3,A,T,1
IL,T2,40,E,U,F,3,A,T,2
TX,T1,35,,U,M,Not matched,A,T,1
MO,U3,8,E,H,M,3,A,U,3
NC,C2,25,E,U,F,3,B,C,2
FL,S1,15,E,U,F,3,A,S,1
other,R2,40,,U,F,Not matched,B,R,2
other,R1,42,,U,M,Not matched,C,R,1
TX,S1,12,E,H,M,3,B,S,1
CA,S1,11,,U,F,3,A,S,1
other,S2,17,E,H,F,2,A,S,2
other,T2,36,E,H,F,3,D,T,2
IL,C2,28,I,U,F,Not matched,B,C,2
MI,U1,2,,U,F,Not matched,B,U,1
WA,S1,14,E,H,M,3,A,S,1
FL,T1,35,E,H,M,3,A,T,1
WI,S2,18,E,H,F,3,B,S,2
